customer_number,stage_grouped,max_closed_date,cloud_revenue,total_opp_amount,employees,mk_fit_score,industry,ee_count,contacts_count,non_ee_count,emb_world_attendees,email_clicks,a365_new_wb_visits,a365_rest_wb_visits,total_webinars_attended,total_webinar_attendees,assembly_app_events,assembly_app_days_used,comms_events,comms_days_used,libs_events,libs_days_used,manufacturing_events,manufacturing_days_used,mcad_events,mcad_days_used,multi_cad_events,multi_cad_days_used,part_request_events,part_request_days_used,share_events,share_days_used,tasks_events,tasks_days_used,version_control_events,version_control_days_used,web_review_events,web_review_days_used
1516788,lost,7/17/2024,499,499,2,0,Industrial/Instrumentation,3,24,10,0,4,0,1,0,0,2,2,387,61,1527,78,174,78,2356,54,0,0,2,2,53,8,196,52,2339,102,9460,145
1691922,lost,9/24/2024,1679.8,1184,18,0,Consumer Electronics,1,13,9,0,13,1,80,0,0,174,20,36,7,555,48,0,0,5,3,0,0,2,2,16,6,0,0,2706,113,5595,124
1133975,lost,5/10/2024,19789,19789,14500,0,Service Bureau / Engineering Services,43,111,35,0,53,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1728685,lost,6/29/2024,1117.99,1117.99,0,0,Communications,2,4,2,0,3,3,51,1,1,100,4,17,4,6,4,0,0,0,0,0,0,0,0,3,3,0,0,1009,93,1751,71
1824279,lost,7/31/2024,1055.99,1055.99,0,0,Industrial/Instrumentation,1,2,1,0,3,6,150,0,0,848,30,0,0,135,36,0,0,12,9,0,0,0,0,0,0,0,0,1361,111,2796,99
1948121,lost,9/18/2024,2498,2498,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214575,lost,6/12/2024,30000,30000,50,0,Component OEM,4,28,17,0,6,13,8,0,0,1,1,125,41,1504,72,0,0,162,14,0,0,0,0,0,0,0,0,1541,116,204,23
1947959,won,10/18/2024,5000,46212.5,0,0,Medical Device,0,0,0,0,5,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1782531,won,8/27/2024,4935.8,4935.8,0,0,Electronic Component and Semiconductor,1,8,1,0,1,0,16,0,0,0,0,247,59,2031,93,0,0,220,7,0,0,0,0,3,3,0,0,3205,123,2713,84
1493387,won,9/30/2024,2974.8,2974.8,80,0,Component OEM,3,17,10,0,4,24,51,1,1,1,1,3,2,288,91,0,0,125,3,0,0,7,2,22,2,4,2,1026,108,41,6
